id,iso_code,date,new_cases,new_deaths,icu_patients,hosp_patients,new_tests,positive_rate,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,excess_mortality
178247,AFG,2022-06-02,101.0,1.0,,,,,,,,,
178248,AFG,2022-06-03,64.0,0.0,,,,,,,,,
178249,ALB,2022-06-02,0.0,0.0,,,594.0,,,,,,
178250,ALB,2022-06-03,89.0,0.0,,,,,,,,,
178251,DZA,2022-06-02,2.0,0.0,1.0,,,,,,,,
178252,DZA,2022-06-03,0.0,0.0,,,,,,,,,
178253,AND,2022-06-02,0.0,0.0,,,,,,,,,
178254,AND,2022-06-03,173.0,0.0,,,,,,,,,
178255,AGO,2022-06-02,,0.0,,,,,,,,,
178256,AGO,2022-06-03,,0.0,,,,,,,,,
178257,AIA,2022-06-02,0.0,0.0,,,,,,,,,
178258,AIA,2022-06-03,0.0,0.0,,,,,,,,,
178259,ATG,2022-06-02,42.0,0.0,,,,,,,,,
178260,ATG,2022-06-03,0.0,0.0,,,,,,,,,
178261,ARG,2022-06-02,,,,,,,41115023.0,37472575.0,25024769.0,115976.0,
178262,ARG,2022-06-03,,,,,,,41115023.0,37472575.0,25024792.0,23.0,
178263,ARM,2022-06-02,0.0,0.0,,,,,,,,,
178264,ARM,2022-06-03,0.0,0.0,,,,,,,,,
178265,ABW,2022-06-02,0.0,0.0,,,,,88842.0,82387.0,,37.0,
178266,ABW,2022-06-03,623.0,3.0,,,,,88901.0,82455.0,,127.0,
178267,AUS,2022-06-02,31897.0,61.0,87.0,2723.0,79867.0,0.165,22322831.0,21619219.0,13727620.0,13405.0,
178268,AUS,2022-06-03,27521.0,60.0,84.0,2669.0,,,,,,,
178269,AUT,2022-06-02,3039.0,6.0,48.0,464.0,153663.0,0.0209,,,,,
178270,AUT,2022-06-03,2791.0,1.0,47.0,465.0,,,,,,,
178271,AZE,2022-06-02,7.0,0.0,,,,0.0041,5348519.0,4849400.0,3284160.0,2123.0,
178272,AZE,2022-06-03,0.0,0.0,,,,,,,,,
178273,BHS,2022-06-02,0.0,0.0,,,,,,,,,
178274,BHS,2022-06-03,70.0,0.0,,,,,,,,,
178275,BHR,2022-06-02,594.0,0.0,,,,0.1356,1237003.0,1220832.0,987681.0,,
178276,BHR,2022-06-03,595.0,0.0,,,,,1237061.0,1220944.0,987777.0,266.0,
178277,BGD,2022-06-02,22.0,0.0,,,5225.0,0.0201,,,,,
178278,BGD,2022-06-03,29.0,0.0,,,,,,,,,
178279,BRB,2022-06-02,182.0,1.0,,,,,162426.0,152878.0,,30.0,
178280,BRB,2022-06-03,146.0,0.0,,,,,,,,,
178281,BLR,2022-06-02,0.0,0.0,,,,,,,,,
178282,BLR,2022-06-03,0.0,0.0,,,,,,,,,
178283,BEL,2022-06-02,6196.0,14.0,76.0,883.0,,,,,,,
178284,BEL,2022-06-03,,,,,,,,,,,
178285,BLZ,2022-06-02,129.0,0.0,,,,,,,,,
178286,BLZ,2022-06-03,122.0,0.0,,,,,237669.0,211834.0,48212.0,,
178287,BEN,2022-06-02,0.0,0.0,,,,,,,,,
178288,BEN,2022-06-03,0.0,0.0,,,,,,,,,
178289,BMU,2022-06-02,,0.0,,,,,,,,,
178290,BMU,2022-06-03,,0.0,,,,,,,,,
178291,BTN,2022-06-02,0.0,0.0,,,,,,,,,
178292,BTN,2022-06-03,0.0,0.0,,,,,,,,,
178293,BOL,2022-06-02,0.0,0.0,,,,,,,,,
