;value
Aruba;
Afghanistan;553
Angola;3210
Albania;4420
Andorra;34.3k
United Arab Emirates;
Argentina;11.3k
Armenia;4010
American Samoa;
Antigua and Barbuda;13.8k
Australia;58k
Austria;43.6k
Azerbaijan;5070
Burundi;271
Belgium;40k
Benin;1210
Burkina Faso;733
Bangladesh;1630
Bulgaria;8050
Bahrain;19.3k
Bahamas;27.2k
Bosnia and Herzegovina;5370
Belarus;6220
Belize;3970
Bermuda;
Bolivia;3020
Brazil;8230
Barbados;13.8k
Brunei;30.7k
Bhutan;2980
Botswana;6530
Central African Republic;411
Canada;42.1k
Switzerland;85.7k
Chile;13k
China;10.4k
Cote d'Ivoire;2310
Cameroon;1370
Congo;513
Congo;1800
Colombia;5890
Comoros;1320
Cape Verde;2940
Costa Rica;12k
Cuba;
Cayman Islands;
Cyprus;30.4k
Czech Republic;19k
Germany;41.3k
Djibouti;3250
Dominica;6330
Denmark;56.2k
Dominican Republic;7680
Algeria;3820
Ecuador;5320
Egypt;4030
Spain;24.9k
Estonia;19.7k
Ethiopia;827
Finland;44.8k
Fiji;4720
France;35.8k
Faeroe Islands;
Micronesia;2920
Gabon;6860
Isle of Man;
United Kingdom;41.8k
Georgia;4490
Ghana;1940
Guinea;984
Gambia;693
Guinea-Bissau;619
Equatorial Guinea;6780
Greece;17.4k
Grenada;9050
Greenland;
Guatemala;4130
Guam;
Guyana;9250
Hong Kong;44.2k
Honduras;2240
Croatia;12.7k
Haiti;1310
Hungary;14.3k
Indonesia;3760
India;1800
Ireland;78.6k
Iran;4800
Iraq;4290
Iceland;53.2k
Israel;36.6k
Italy;29.3k
Jamaica;4530
Jordan;4030
Japan;34.4k
Kazakhstan;11k
Kenya;1480
Kyrgyz Republic;1100
Cambodia;1370
Kiribati;1630
St. Kitts and Nevis;16.4k
South Korea;31.3k
Kosovo;3990
Kuwait;
Lao;2550
Lebanon;5460
Liberia;609
Libya;4050
St. Lucia;8830
Liechtenstein;
Sri Lanka;4050
Lesotho;967
Lithuania;17k
Luxembourg;101k
Latvia;15.5k
Macao;79.7k
Morocco;3130
Monaco;
Moldova;3250
Madagascar;456
Maldives;6820
Mexico;8930
Marshall Islands;
North Macedonia;5090
Mali;779
Malta;24.5k
Myanmar;1220
Montenegro;6520
Mongolia;4080
Northern Mariana Islands;
Mozambique;574
Mauritania;1480
Mauritius;9060
Malawi;395
Malaysia;10.6k
Namibia;4080
Niger;512
Nigeria;2400
Nicaragua;1920
Netherlands;46.3k
Curaçao;
Norway;75.1k
Nepal;1030
Nauru;
New Zealand;39.9k
Oman;
Pakistan;1470
Panama;12.2k
Peru;5790
Philippines;3270
Palau;
Papua New Guinea;2690
Poland;14.6k
Puerto Rico;29k
Portugal;19.9k
Paraguay;5650
Palestine;2920
Qatar;56k
Romania;10.8k
Russia;11.8k
Rwanda;834
Saudi Arabia;18.7k
Sudan;1940
Senegal;1360
Singapore;58.1k
Solomon Islands;2140
Sierra Leone;625
El Salvador;3670
San Marino;
Somalia;277
Serbia;6530
South Sudan;
Sao Tome and Principe;1690
Suriname;7660
Slovak Republic;17.3k
Slovenia;22.9k
Sweden;51.6k
Eswatini;3720
Sint Maarten (Dutch part);
Seychelles;14.1k
Turks and Caicos Islands;20.7k
Chad;635
Togo;627
Thailand;6200
Tajikistan;1200
Turkmenistan;
Timor-Leste;1290
Tonga;
Trinidad and Tobago;14.9k
Tunisia;3570
Turkey;12k
Tuvalu;3790
Tanzania;976
Uganda;894
Ukraine;3120
Uruguay;15k
United States;58.5k
Uzbekistan;3000
St. Vincent and the Grenadines;7000
Virgin Islands (U.S.);
Vietnam;2660
Vanuatu;2550
Samoa;4280
Yemen;
South Africa;5120
Zambia;1270
Zimbabwe;1240
