;value
Afghanistan;38.9M
Angola;32.9M
Albania;2.88M
Andorra;77.3k
United Arab Emirates;9.89M
Argentina;45.2M
Armenia;2.96M
Antigua and Barbuda;97.9k
Australia;25.5M
Austria;9.01M
Azerbaijan;10.1M
Burundi;11.9M
Belgium;11.6M
Benin;12.1M
Burkina Faso;20.9M
Bangladesh;165M
Bulgaria;6.95M
Bahrain;1.7M
Bahamas;393k
Bosnia and Herzegovina;3.28M
Belarus;9.45M
Belize;398k
Bolivia;11.7M
Brazil;213M
Barbados;287k
Brunei;437k
Bhutan;772k
Botswana;2.35M
Central African Republic;4.83M
Canada;37.7M
Switzerland;8.65M
Chile;19.1M
China;1.44B
Cote d'Ivoire;26.4M
Cameroon;26.5M
Congo;86.8M
Congo;5.38M
Colombia;50.9M
Comoros;870k
Cape Verde;556k
Costa Rica;5.09M
Cuba;11.3M
Cyprus;1.21M
Czech Republic;10.7M
Germany;83.8M
Djibouti;988k
Dominica;72k
Denmark;5.79M
Dominican Republic;10.8M
Algeria;43.9M
Ecuador;17.6M
Egypt;102M
Eritrea;3.55M
Spain;46.8M
Estonia;1.33M
Ethiopia;115M
Finland;5.54M
Fiji;896k
France;65.3M
Micronesia;114k
Gabon;2.23M
United Kingdom;67.9M
Georgia;3.99M
Ghana;31.1M
Guinea;13.1M
Gambia;2.42M
Guinea-Bissau;1.97M
Equatorial Guinea;1.4M
Greece;10.4M
Grenada;113k
Guatemala;17.9M
Guyana;787k
Hong Kong;7.44M
Honduras;9.9M
Holy See;809
Croatia;4.11M
Haiti;11.4M
Hungary;9.66M
Indonesia;274M
India;1.38B
Ireland;4.94M
Iran;84M
Iraq;40.2M
Iceland;341k
Israel;8.66M
Italy;60.5M
Jamaica;2.96M
Jordan;10.2M
Japan;126M
Kazakhstan;18.8M
Kenya;53.8M
Kyrgyz Republic;6.52M
Cambodia;16.7M
Kiribati;119k
St. Kitts and Nevis;53.2k
South Korea;51.3M
Kuwait;4.27M
Lao;7.28M
Lebanon;6.83M
Liberia;5.06M
Libya;6.87M
St. Lucia;184k
Liechtenstein;38.1k
Sri Lanka;21.4M
Lesotho;2.14M
Lithuania;2.72M
Luxembourg;626k
Latvia;1.89M
Morocco;36.9M
Monaco;39.2k
Moldova;4.03M
Madagascar;27.7M
Maldives;541k
Mexico;129M
Marshall Islands;59.2k
North Macedonia;2.08M
Mali;20.3M
Malta;442k
Myanmar;54.4M
Montenegro;628k
Mongolia;3.28M
Mozambique;31.3M
Mauritania;4.65M
Mauritius;1.27M
Malawi;19.1M
Malaysia;32.4M
Namibia;2.54M
Niger;24.2M
Nigeria;206M
Nicaragua;6.62M
Netherlands;17.1M
Norway;5.42M
Nepal;29.1M
Nauru;10.8k
New Zealand;4.82M
Oman;5.11M
Pakistan;221M
Panama;4.31M
Peru;33M
Philippines;110M
Palau;18.1k
Papua New Guinea;8.95M
Poland;37.8M
North Korea;25.8M
Portugal;10.2M
Paraguay;7.13M
Palestine;5.1M
Qatar;2.88M
Romania;19.2M
Russia;146M
Rwanda;13M
Saudi Arabia;34.8M
Sudan;43.8M
Senegal;16.7M
Singapore;5.85M
Solomon Islands;687k
Sierra Leone;7.98M
El Salvador;6.49M
San Marino;33.9k
Somalia;15.9M
Serbia;8.74M
South Sudan;11.2M
Sao Tome and Principe;219k
Suriname;587k
Slovak Republic;5.46M
Slovenia;2.08M
Sweden;10.1M
Eswatini;1.16M
Seychelles;98.3k
Syria;17.5M
Chad;16.4M
Togo;8.28M
Thailand;69.8M
Tajikistan;9.54M
Turkmenistan;6.03M
Timor-Leste;1.32M
Tonga;106k
Trinidad and Tobago;1.4M
Tunisia;11.8M
Turkey;84.3M
Tuvalu;11.8k
Taiwan;23.8M
Tanzania;59.7M
Uganda;45.7M
Ukraine;43.7M
Uruguay;3.47M
United States;331M
Uzbekistan;33.5M
St. Vincent and the Grenadines;111k
Venezuela;28.4M
Vietnam;97.3M
Vanuatu;307k
Samoa;198k
Yemen;29.8M
South Africa;59.3M
Zambia;18.4M
Zimbabwe;14.9M
